Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, lscc_ram_dp_true_inst_Z19_layer0,0h:00m:07s,0h:00m:07s,-,0h:00m:00s,   215 MB,    11 MB,    11 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_mem_Z18_layer0,0h:00m:08s,0h:00m:08s,0h:00m:00s,0h:00m:00s,   215 MB,    11 MB,    11 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_sys_mem_Z16_layer0,0h:00m:10s,0h:00m:10s,-,0h:00m:00s,   215 MB,    12 MB,    12 MB,     0 MB,     0 MB
work, gpio0_ipgen_lscc_gpio_Z12_layer0,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   215 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, cpu0_ipgen_Riscv_Dbg_IMAC,0h:00m:07s,0h:00m:00s,0h:00m:00s,0h:00m:06s,   294 MB,    84 MB,     3 MB,    19 MB,    62 MB
work, cpu0_ipgen_riscvsmall_Z10_layer0,0h:00m:06s,0h:00m:06s,-,0h:00m:00s,   294 MB,    25 MB,    25 MB,     0 MB,     0 MB
work, apb0_ipgen_lscc_apb_decoder_Z8_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   294 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, apb0_ipgen_lscc_apb_interconnect_Z7_layer0,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   294 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, ahbl0_ipgen_lscc_ahbl_interconnect_Z1_layer0,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   294 MB,     1 MB,     1 MB,     0 MB,     0 MB
